skill_id|skill_name|governing_ability|description|common_uses|difficulty_examples
SKL001|Acrobatics|Dexterity|Balance, tumbling, aerial maneuvers|Stay on feet on slippery ground, tumble through enemy space, perform flips|Easy (DC 10): Walk on ice. Medium (DC 15): Tumble through combat. Hard (DC 20): Balance on tightrope in wind
SKL002|Animal Handling|Wisdom|Calm, train, or read animals|Calm a spooked horse, train a dog, sense animal intentions|Easy (DC 10): Calm friendly animal. Medium (DC 15): Train basic command. Hard (DC 20): Calm hostile predator
SKL003|Athletics|Strength|Climbing, jumping, swimming, physical exertion|Climb walls, jump gaps, swim currents, break down doors|Easy (DC 10): Climb rope. Medium (DC 15): Climb wet wall. Hard (DC 20): Climb sheer surface
SKL004|Deception|Charisma|Lie, disguise, fast talk|Tell convincing lies, disguise yourself, bluff in social situations|Easy (DC 10): Tell white lie. Medium (DC 15): Maintain false identity. Hard (DC 20): Fool expert investigator
SKL005|History|Intelligence|Recall historical events, legends, past events|Remember historical facts, recall legends, know about ancient cultures|Easy (DC 10): Common history. Medium (DC 15): Obscure events. Hard (DC 20): Lost knowledge
SKL006|Insight|Wisdom|Read intentions, detect lies, sense motives|Determine if someone is lying, read body language, sense danger|Easy (DC 10): Notice obvious nervousness. Medium (DC 15): Detect skilled liar. Hard (DC 20): Read master deceiver
SKL007|Intimidation|Charisma|Frighten, threaten, coerce through fear|Threaten information, scare enemies, establish dominance|Easy (DC 10): Intimidate commoner. Medium (DC 15): Scare hardened criminal. Hard (DC 20): Break trained soldier
SKL008|Investigation|Intelligence|Find clues, solve puzzles, deduce information|Search for hidden objects, piece together clues, solve mysteries|Easy (DC 10): Find obvious clue. Medium (DC 15): Deduce from evidence. Hard (DC 20): Solve complex mystery
SKL009|Medicine|Wisdom|Diagnose illness, treat wounds, stabilize dying|Stop bleeding, diagnose disease, stabilize unconscious ally|Easy (DC 10): Bandage wound. Medium (DC 15): Diagnose illness. Hard (DC 20): Perform field surgery
SKL010|Nature|Intelligence|Recall information about terrain, plants, animals, weather|Identify plants, predict weather, track animals, know monster ecology|Easy (DC 10): Identify common plant. Medium (DC 15): Predict tomorrow's weather. Hard (DC 20): Identify rare monster tracks
SKL011|Perception|Wisdom|Notice hidden things, spot details, hear sounds|Spot hidden enemies, notice traps, hear distant sounds|Easy (DC 10): Notice obvious detail. Medium (DC 15): Spot concealed door. Hard (DC 20): Notice master assassin
SKL012|Performance|Charisma|Entertain, play instruments, act|Play music, tell stories, act convincingly, entertain crowds|Easy (DC 10): Simple song. Medium (DC 15): Captivate audience. Hard (DC 20): Legendary performance
SKL013|Persuasion|Charisma|Convince, negotiate, inspire trust|Negotiate prices, convince allies, inspire followers, make friends|Easy (DC 10): Convince friend. Medium (DC 15): Negotiate fair deal. Hard (DC 20): Sway hostile crowd
SKL014|Religion|Intelligence|Recall religious lore, recognize symbols, know rituals|Identify religious symbols, know proper rituals, recall deity information|Easy (DC 10): Know common prayer. Medium (DC 15): Identify obscure symbol. Hard (DC 20): Recall ancient ritual
SKL015|Sleight of Hand|Dexterity|Pickpocket, palm objects, perform tricks|Steal without notice, plant evidence, perform magic tricks|Easy (DC 10): Palm coin. Medium (DC 15): Pickpocket distracted person. Hard (DC 20): Steal from alert guard
SKL016|Stealth|Dexterity|Hide, move silently, avoid detection|Sneak past guards, hide in shadows, move without sound|Easy (DC 10): Hide in heavy cover. Medium (DC 15): Sneak past alert guard. Hard (DC 20): Invisible movement
SKL017|Survival|Wisdom|Track, hunt, navigate wilderness, find food|Follow tracks, hunt game, navigate without map, predict weather|Easy (DC 10): Find food in forest. Medium (DC 15): Track day-old trail. Hard (DC 20): Survive harsh winter
SKL018|Monster Lore|Intelligence|Knowledge of monsters, their weaknesses, behaviors|Identify monsters, recall weaknesses, predict behavior|Easy (DC 10): Recognize common monster. Medium (DC 15): Know specific weakness. Hard (DC 20): Identify rare demon type
SKL019|Sanity Check|Wisdom|Resist psychological horror, maintain composure|Resist fear from monsters, avoid madness, keep calm in terror|Easy (DC 10): See corpse. Medium (DC 15): Witness monster feeding. Hard (DC 20): Encounter eldritch horror
SKL020|Fog Navigation|Wisdom|Navigate through dense fog, sense direction|Find way in fog, avoid getting lost, sense landmarks|Easy (DC 10): Navigate light fog. Medium (DC 15): Navigate dense fog. Hard (DC 20): Navigate supernatural fog
SKL021|Quick Draw|Dexterity|Draw and ready weapons quickly|Draw weapon as free action, fast reload, quick weapon swap|Easy (DC 10): Draw one weapon. Medium (DC 15): Draw two weapons. Hard (DC 20): Draw and fire in one motion
SKL022|Firearm Maintenance|Intelligence|Clean, repair, maintain firearms|Keep guns functional, fix jams, modify weapons|Easy (DC 10): Basic cleaning. Medium (DC 15): Fix jam. Hard (DC 20): Field repair damaged weapon
SKL023|Demon Recognition|Intelligence|Identify demons, know their abilities, recall lore|Recognize demon type, know vulnerabilities, predict attacks|Easy (DC 10): Identify common demon. Medium (DC 15): Know specific weakness. Hard (DC 20): Identify archdemom
SKL024|First Aid|Wisdom|Emergency medical treatment in field conditions|Stop bleeding, treat shock, stabilize injuries without full medicine kit|Easy (DC 10): Bandage cut. Medium (DC 15): Stop severe bleeding. Hard (DC 20): Stabilize critical wounds
