item_id|item_name|item_type|subtype|damage_dice|damage_bonus|damage_type|range_normal|range_max|properties|armor_class_bonus|requires_dex|max_dex_bonus|weight|cost|rarity|description|special_effects
WPN001|Revolver|weapon|firearm|1d10|0|piercing|40|120|Loading, Two-handed or One-handed|0|0|0|3|75gp|common|Six-shot cylinder revolver|Reload action required after 6 shots
WPN002|Rifle|weapon|firearm|2d6|0|piercing|80|240|Loading, Two-handed|0|0|0|8|150gp|common|Long-barrel rifle for distance|Reload action required after 1 shot
WPN003|Shotgun|weapon|firearm|2d8|0|piercing|30|90|Loading, Two-handed, Spread|0|0|0|7|100gp|common|Scatter gun effective at close range|Advantage at close range (within 15ft), disadvantage beyond normal range
WPN004|Hunting Knife|weapon|melee|1d4|0|slashing|0|0|Light, Finesse, Thrown (20/60)|0|0|0|1|5gp|common|Versatile blade for hunting and combat|Can be used for survival tasks
WPN005|Longsword|weapon|melee|1d8|0|slashing|0|0|Versatile (1d10)|0|0|0|3|15gp|common|Standard knight's blade|1d10 damage if used two-handed
WPN006|Greatsword|weapon|melee|2d6|0|slashing|0|0|Heavy, Two-handed|0|0|0|6|50gp|common|Massive two-handed blade|Requires strength 13+
WPN007|Club|weapon|melee|1d4|0|bludgeoning|0|0|Light|0|0|0|2|1sp|common|Simple wooden club|Can be found as improvised weapon
WPN008|Dagger|weapon|melee|1d4|0|piercing|0|0|Light, Finesse, Thrown (20/60)|0|0|0|1|2gp|common|Small concealable blade|Easy to hide
WPN009|Crossbow|weapon|ranged|1d8|0|piercing|80|320|Loading, Two-handed|0|0|0|5|25gp|common|Mechanical bow|Reload action required after each shot
WPN010|Longbow|weapon|ranged|1d8|0|piercing|150|600|Two-handed, Ammunition|0|0|0|2|50gp|common|Wooden bow for distance|Requires strength 13+
WPN011|Throwing Axe|weapon|thrown|1d6|0|slashing|20|60|Light, Thrown|0|0|0|2|5gp|common|Balanced axe for throwing|Can be used in melee
ARM001|Leather Duster|armor|light|0|0|0|0|0|0|12|1|5|8|10gp|common|Long leather coat|Stylish and protective
