location_id|location_name|weather|locked|x_coord|y_coord|danger_level|lighting|temperature|crowd_density|noise_level|accessibility|time_of_day_modifier|events_available|shop_type|rest_bonus|discovery_bonus|loot_table_id|faction_territory|ambient_description
010101|Capital District - Royal Inn Common Room|Foggy|1|50|50|0|Firelit|Warm|High|Loud|Easy|Evening|social|inn|5|0|LOOT_INN_01|Crown_Loyalists|Crackling hearth flames cast dancing shadows on worn wooden tables. The smell of roasted meat and ale fills the air as travelers share tales of the fog.
010102|Capital District - Royal Inn Private Chamber|Foggy|1|51|50|0|Candlelit|Warm|Empty|Silent|Easy|Night|romantic|inn|10|0|LOOT_INN_02|Crown_Loyalists|A modest chamber with a straw mattress and woolen blankets. A single candle flickers on the nightstand, keeping the encroaching fog at bay.
010103|Capital District - Royal Inn Rooftop|Foggy|1|52|51|2|Dim|Cold|Empty|Quiet|Medium|None|scenic|None|3|5|LOOT_ROOF_01|Neutral|The fog rolls thick across the rooftops. You can barely see the outline of nearby buildings through the grey mist. Somewhere below, the city breathes.
010201|Capital District - Morning Star Tavern|Heavy_Fog|1|48|52|1|Torchlit|Comfortable|Moderate|Moderate|Easy|All|social|tavern|2|0|LOOT_TAV_01|Merchants_Guild|Smoke and fog mingle beneath low timber beams. Merchants haggle in hushed tones while sellswords eye each corner with suspicion.
010202|Capital District - Tavern Cellar|Heavy_Fog|0|48|53|3|Dark|Damp|Empty|Dripping|Medium|None|discovery|tavern|0|15|LOOT_CEL_01|Merchants_Guild|Stone walls weep with moisture. Barrels of wine and ale line the walls, but shadows in the corners suggest this cellar hides more than spirits.
010301|Capital District - Gilded Plate Restaurant|Light_Fog|1|55|48|0|Chandelier|Comfortable|High|Moderate|Easy|Evening|social|restaurant|0|0|LOOT_REST_01|Merchants_Guild|Crystal chandeliers struggle against the gloom. Nobles in fine silks dine on silverware while servants glide silently between tables draped in white linen.
010302|Capital District - Private Dining Hall|Light_Fog|0|56|48|0|Soft|Comfortable|Empty|Whisper|Hard|Evening|secretive|restaurant|5|20|LOOT_REST_02|Merchants_Guild|Velvet curtains seal this chamber from prying eyes. The fog seems unable to penetrate here, as if the room itself rejects the outside world.
010401|Capital District - The Shrouded Flagon|Heavy_Fog|1|45|55|3|Torchlit|Stuffy|High|Very_Loud|Easy|Night|social|tavern|0|0|LOOT_TAV_02|Thieves_Guild|Tobacco smoke mingles with fog seeping through cracked walls. Dice clatter, coins clink, and dangerous men laugh too loudly at poor jokes.
010402|Capital District - Flagon Back Room|Heavy_Fog|0|44|56|4|Very_Dark|Cold|Low|Whisper|Hard|Night|criminal|tavern|0|25|LOOT_CRIME_01|Thieves_Guild|The fog itself seems darker here. Hooded figures conduct business in the shadows. You feel many eyes upon you, though you see none.
020101|Merchant Quarter - Market Square|Foggy|1|75|45|1|Overcast|Cool|Very_High|Very_Loud|Easy|Day|social|market|0|0|LOOT_MARKET_01|Merchants_Guild|Canvas stalls emerge from the fog like ships in harbor. Hawkers cry their wares while customers jostle through the grey mist, clutching purses tight.
020102|Merchant Quarter - Guild Hall Entrance|Foggy|1|76|45|0|Torchlit|Cool|Moderate|Moderate|Easy|Day|business|None|0|0|LOOT_GUILD_01|Merchants_Guild|Carved oak doors stand beneath a brass merchant's seal. Guards in guild colors watch all who enter with calculating eyes.
020103|Merchant Quarter - Guild Master's Office|Foggy|0|78|46|0|Lanternlit|Comfortable|Low|Quiet|Very_Hard|Day|business|None|5|30|LOOT_GUILD_02|Merchants_Guild|Maps of trade routes cover every wall, pins marking safe paths through the fog-wrapped forests. A heavy ledger sits open on a mahogany desk.
030101|Temple District - Monastery Courtyard|Light_Fog|1|20|60|0|Natural|Cool|Low|Peaceful|Easy|Day|meditation|None|3|5|LOOT_TEMP_01|Church_of_Light|Stone archways frame a garden where monks tend herbs immune to fog's touch. Prayer bells chime softly through the mist.
030102|Temple District - Scriptorium|Light_Fog|1|19|60|0|Candlelit|Cool|Low|Scratching|Easy|Day|study|None|5|10|LOOT_SCRIPT_01|Church_of_Light|Rows of desks where scribes copy ancient texts by candlelight. The scratch of quills and whisper of turning pages echo in the vaulted chamber.
